slug,title,cluster,type,primary_query,secondary_queries,intent,angle,must_include,internal_links,target_words,status
zapis-zvuka-i-zakon,Запись звука и разговоров: техника и границы,C6 Приватность и закон,explainer,законно ли записывать разговор,"запись встречи без предупреждения,расшифровка звонков закон,запись звука приватность",информационный,"Разделяет три ситуации (свой монолог, встреча с согласием, разговор без предупреждения) и даёт технические настройки под каждую, включая мгновенное отключение микрофона.",Таблица трёх ситуаций + инструкция по быстрому отключению записи звука,"zapis-ekrana-i-chuzhie-dannye,nastroika-privatnosti-zahvata,golosovye-zametki-i-rasshifrovka,chto-takoe-diarizatsiya,golosovoy-dostup-k-pamyati",1300,planned
privatnost-detey-i-ii,Дети и ИИ-ассистент: что записывать нельзя,C6 Приватность и закон,guide,дети и нейросети приватность,"ии для ребёнка безопасность,детские данные и ии,семейный компьютер запись экрана",информационный,"Единственная статья, дающая прямой запрет вместо рекомендаций: детские данные не должны попадать в память ассистента, и объясняющая, как это обеспечить на общем компьютере.",Список обязательных исключений на общем компьютере + чек-лист настройки,"lichnyy-ii-dlya-semi,zapis-ekrana-i-chuzhie-dannye,nastroika-privatnosti-zahvata,pamyat-i-privatnost-chto-hranit,personalnye-dannye-v-promte",1100,planned
bankovskie-dannye-i-ii,Финансы и ИИ: что можно доверить ассистенту а что нет,C6 Приватность и закон,guide,финансовые данные и нейросеть,"можно ли показывать банк ии,ии и деньги приватность,финансовый учёт нейросетью",информационный,"Разделяет анализ обезличенных сумм (можно) и доступ к реквизитам и кабинету (нельзя), и даёт правило исключения банковских окон из захвата.",Таблица «данные → можно ли → как обезличить» + правила исключения окон,"personalnye-dannye-v-promte,nastroika-privatnosti-zahvata,parol-i-vault-dlya-zametok,pamyat-i-privatnost-chto-hranit,ugrozy-lokalnogo-ii",1200,planned
medicinskie-dannye-i-ii,Здоровье и ИИ-ассистент: границы разумного,C6 Приватность и закон,explainer,медицинские данные и нейросеть,"ии и здоровье приватность,можно ли спрашивать ии о здоровье,медданные в облаке",информационный,"Даёт две границы сразу: юридическую (особая категория данных) и практическую (ассистент не ставит диагноз), и объясняет, почему локальный режим здесь не формальность.",Таблица категорий медданных + список запрещённых сценариев использования,"personalnye-dannye-v-promte,152-fz-i-ii-assistenty,pamyat-i-privatnost-chto-hranit,podklyuchaem-ollama-k-persona,chto-lichnyy-ii-ne-umeet",1200,planned
ugrozy-lokalnogo-ii,Модель угроз локального ИИ: от чего он вас не защищает,C6 Приватность и закон,explainer,безопасность локального ии,"локальный ии риски,угрозы локальной модели,локально значит безопасно",информационный,"Прямо опровергает удобный для нас же тезис: локальность снимает часть рисков и добавляет свои — незашифрованный диск, доступ к разблокированной машине, открытый порт.",Таблица угроз с отметкой «локальность помогает / не помогает / ухудшает» + минимальные меры,"privatnyy-ii-lokalno,shifrovanie-dannyh-assistenta,samohosting-riski-chestno,ollama-po-seti-nastroyka,kak-proverit-chto-prilozhenie-ne-shlet-dannye",1500,planned
rezervnye-kopii-i-privatnost,Резервные копии памяти: как не потерять и не слить,C6 Приватность и закон,guide,резервная копия данных ии,"бэкап базы ассистента,шифрованный бэкап,восстановить память ии",транзакционный,"Разбирает конфликт между надёжностью и приватностью: облачный бэкап отменяет локальность, а локальный не переживает пожар — и предлагает компромисс.",Таблица схем резервирования с оценкой риска + процедура проверки восстановления,"backup-i-vosstanovlenie-sqlite,shifrovanie-dannyh-assistenta,parol-i-vault-dlya-zametok,perenos-instansa-na-drugoy-disk,eksport-i-perenos-pamyati-ii",1300,planned
udalenie-akkaunta-i-dannyh,Удаление аккаунта и данных: как убедиться что всё стёрто,C6 Приватность и закон,guide,удалить аккаунт и данные,"как удалить данные из сервиса,право на удаление данных,стереть всё из ассистента",транзакционный,"Даёт процедуру проверки, а не просто инструкцию по нажатию кнопки: как убедиться, что данные исчезли из базы, индекса, кэша и резервных копий.",Чек-лист из 6 мест хранения + процедура проверки после удаления,"kak-udalit-fakt-iz-pamyati-ii,gdpr-i-lokalnyy-ii,eksport-i-perenos-pamyati-ii,rezervnye-kopii-i-privatnost,backup-i-vosstanovlenie-sqlite",1200,planned
otkrytyy-kod-i-doverie,Открытый код и доверие: почему у нас его пока нет,C6 Приватность и закон,explainer,открытый код и доверие,"open source ии доверие,можно ли доверять закрытому коду,аудит кода приложения",информационный,"Полностью самокритичная статья: прямо заявляет, что репозиторий Persona закрыт и публичной лицензии нет, поэтому аргумент «проверьте код» нам недоступен — и объясняет, какие проверки читателю доступны вместо этого.",Таблица «что даёт открытый код и что его не заменяет» + 4 доступные читателю проверки закрытого продукта,"kak-proverit-chto-prilozhenie-ne-shlet-dannye,otkrytye-vesa-vs-open-source,open-source-protiv-pogloshcheniya,pochemu-my-proigryvaem-po-nekotorym-punktam,persona-vs-screenpipe-openrecall",1500,planned
podklyuchaem-ollama-k-persona,Подключаем Ollama к Persona: полностью офлайн-ассистент без облака,C7 Провайдеры и ключи,guide,ollama local llm,"локальная llm,air-gapped ai,офлайн ассистент",транзакционный,"Показывает, что для полностью локального ассистента нужны две модели — чат и embed — и что без второй семантический поиск просто выключен.",Команды pull обеих моделей + разбор двух ролей модели + честный раздел о скорости,"kak-vybrat-model-pod-pamyat-persona,ollama-lokalnyy-zapusk,embed-modeli-obzor,sqlite-vec-gayd,lokalnaya-model-vs-oblako",1500,existing
gde-vzyat-api-klyuch-k-llm,Где взять ключ к языковой модели: разбор провайдеров,C7 Провайдеры и ключи,pillar,где взять api ключ,"api ключ нейросети,подключить llm по ключу,провайдеры llm api",транзакционный,"Единственный обзор, где провайдеры отсортированы по доступности оплаты из России, а не по популярности в англоязычных подборках.","Таблица провайдеров с доступом, способом оплаты и наличием бесплатного лимита (цены помечены как требующие проверки)","openrouter-gayd,besplatnye-llm-api-2026,oplata-api-iz-rossii,proxyapi-i-aitunnel-dlya-rossii,kak-schitat-stoimost-tokenov,kakoy-provayder-dlya-kakoy-zadachi,podklyuchit-klyuch-v-persona-poshagovo",2800,planned
openrouter-gayd,OpenRouter: один ключ ко множеству моделей,C7 Провайдеры и ключи,guide,openrouter,"openrouter как пользоваться,openrouter ключ,openrouter бесплатные модели",транзакционный,Объясняет главное преимущество агрегатора — смена модели без смены кода — и его цену: наценка и зависимость от чужой маршрутизации.,Пошаговое получение ключа + разбор именования моделей + честная заметка о наценке,"gde-vzyat-api-klyuch-k-llm,kak-perekluchatsya-mezhdu-provayderami,besplatnye-llm-api-2026,openai-sovmestimyy-api-chto-eto,kakoy-provayder-dlya-kakoy-zadachi,together-fireworks-cerebras-obzor",1300,planned
groq-gayd,Groq: очень быстрая генерация и её ограничения,C7 Провайдеры и ключи,guide,groq api,"groq ключ,groq бесплатно,быстрая генерация llm",транзакционный,"Показывает, для каких сценариев скорость Groq реально меняет опыт (голос, потоковые ответы), и где выбор моделей оказывается узким местом.","Инструкция получения ключа + таблица доступных моделей + сценарии, где скорость решает","gde-vzyat-api-klyuch-k-llm,besplatnye-llm-api-2026,golosovoy-dostup-k-pamyati,rate-limit-i-429-chto-delat,kakoy-provayder-dlya-kakoy-zadachi",1100,planned
deepseek-api-gayd,DeepSeek API: дёшево и что за это,C7 Провайдеры и ключи,guide,deepseek api,"deepseek ключ,deepseek цена,deepseek подключить",транзакционный,Считает реальную экономию на типовом месяце личного использования и отдельно разбирает вопрос юрисдикции хранения запросов.,Расчёт месячной стоимости + честный раздел о размещении данных (детали помечены как требующие проверки),"deepseek-modeli-obzor,gde-vzyat-api-klyuch-k-llm,kak-schitat-stoimost-tokenov,politiki-provayderov-po-obucheniyu-na-dannyh,oplata-api-iz-rossii",1200,planned
together-fireworks-cerebras-obzor,Together Fireworks Cerebras: провайдеры открытых моделей,C7 Провайдеры и ключи,review,together ai api,"fireworks ai,cerebras api,хостинг открытых моделей",коммерческий,"Закрывает нишу провайдеров, которые хостят открытые веса: объясняет, чем это отличается от закрытых моделей и когда даёт лучший баланс цены и контроля.",Таблица провайдеров с профилем моделей и особенностями + критерий выбора,"gde-vzyat-api-klyuch-k-llm,openrouter-gayd,licenzii-otkrytyh-modeley,kakoy-provayder-dlya-kakoy-zadachi,kak-schitat-stoimost-tokenov",1200,planned
anthropic-api-gayd,API Anthropic: подключение и особенности,C7 Провайдеры и ключи,guide,anthropic api,"claude api ключ,подключить claude,anthropic подключение",транзакционный,"Разбирает практические отличия формата запросов, из-за которых клиенты, написанные под другой API, ломаются на первом же вызове.",Пример запроса + таблица отличий формата + разбор доступности оплаты,"gde-vzyat-api-klyuch-k-llm,openai-sovmestimyy-api-chto-eto,oplata-api-iz-rossii,vision-modeli-lokalno,kakoy-provayder-dlya-kakoy-zadachi",1100,planned
openai-api-gayd,API OpenAI: подключение и что с доступом из России,C7 Провайдеры и ключи,guide,openai api ключ,"подключить openai api,openai из россии,оплата openai api",транзакционный,"Единственный гайд, который сразу отвечает на главный вопрос русскоязычного читателя — про региональную доступность — и предлагает легальные альтернативы вместо обхода.",Инструкция получения ключа + честный раздел о доступности по регионам + список альтернатив,"gde-vzyat-api-klyuch-k-llm,proxyapi-i-aitunnel-dlya-rossii,oplata-api-iz-rossii,openai-sovmestimyy-api-chto-eto,kakoy-provayder-dlya-kakoy-zadachi",1200,planned
google-gemini-api-gayd,API Google Gemini: длинный контекст и бесплатный лимит,C7 Провайдеры и ключи,guide,gemini api ключ,"google ai studio ключ,gemini бесплатно api,подключить gemini",транзакционный,"Фокусируется на том, ради чего Gemini берут в личный ассистент: очень длинный контекст и заметный бесплатный лимит — и на условиях этого лимита.",Инструкция получения ключа + разбор условий бесплатного уровня (помечено как требующее проверки),"besplatnye-llm-api-2026,gde-vzyat-api-klyuch-k-llm,kontekstnoe-okno-1m,limity-konteksta-u-provayderov,politiki-provayderov-po-obucheniyu-na-dannyh",1100,planned
mistral-api-gayd,API Mistral: европейский провайдер на практике,C7 Провайдеры и ключи,guide,mistral api,"mistral ключ,mistral подключить,европейский llm api",транзакционный,"Разбирает Mistral как выбор ради европейской юрисдикции хранения — критерий, по которому его выбирают чаще, чем ради качества.",Инструкция подключения + разбор вопроса юрисдикции + таблица моделей,"mistral-modeli-obzor,gde-vzyat-api-klyuch-k-llm,gdpr-i-lokalnyy-ii,politiki-provayderov-po-obucheniyu-na-dannyh,kakoy-provayder-dlya-kakoy-zadachi",1000,planned
proxyapi-i-aitunnel-dlya-rossii,Агрегаторы с оплатой российской картой,C7 Провайдеры и ключи,guide,оплата api российской картой,"proxyapi,aitunnel,доступ к chatgpt api из россии",транзакционный,"Единственный материал, который разбирает не только удобство агрегаторов, но и главный их риск: ваш ключ и ваши запросы проходят через посредника.",Таблица агрегаторов + разбор рисков посредничества + чек-лист проверки посредника,"oplata-api-iz-rossii,gde-vzyat-api-klyuch-k-llm,bezopasnoe-hranenie-api-klyucha,politiki-provayderov-po-obucheniyu-na-dannyh,openai-api-gayd",1300,planned
oplata-api-iz-rossii,Как платить за API из России: рабочие варианты,C7 Провайдеры и ключи,guide,как оплатить api из россии,"оплата нейросети из россии,российская карта не проходит api,подписка на нейросеть из рф",транзакционный,"Расставляет варианты по возрастанию риска и прямо говорит, что часть популярных способов нарушает условия провайдера и заканчивается блокировкой аккаунта.",Таблица способов с оценкой риска блокировки + рекомендуемый порядок,"proxyapi-i-aitunnel-dlya-rossii,yandex-gpt-i-gigachat-obzor,besplatnye-llm-api-2026,gde-vzyat-api-klyuch-k-llm,podklyuchaem-ollama-k-persona",1400,planned
besplatnye-llm-api-2026,Бесплатные API языковых моделей: что реально работает,C7 Провайдеры и ключи,comparison,бесплатный api нейросети,"бесплатная llm api,нейросеть бесплатно по api,free tier llm",коммерческий,"Оценивает бесплатные уровни по единственному честному критерию — хватит ли их на реальную дневную нагрузку личного ассистента, — а не по факту наличия.",Таблица бесплатных лимитов с пересчётом в дни использования (все лимиты помечены как требующие проверки),"gde-vzyat-api-klyuch-k-llm,groq-gayd,google-gemini-api-gayd,openrouter-gayd,kak-ne-slit-byudzhet-na-api,skolko-stoit-lichnyy-ii",1500,planned
kak-schitat-stoimost-tokenov,Как считать стоимость запросов к модели,C7 Провайдеры и ключи,explainer,стоимость токенов llm,"расчёт цены api нейросети,сколько стоит запрос к gpt,цена за миллион токенов",информационный,"Показывает, что для ассистента с памятью основную стоимость создаёт не ваш вопрос, а подмешанный контекст — и учит считать именно его.",Формула расчёта с разбивкой на компоненты + пример месячного счёта для ассистента с памятью,"kak-ne-slit-byudzhet-na-api,chto-takoe-token,skolko-stoit-lichnyy-ii,besplatnye-llm-api-2026,kontekstnoe-okno-1m,ii-assistent-na-russkom-yazyke",1300,planned
kak-ne-slit-byudzhet-na-api,Как не слить бюджет на API: лимиты и предохранители,C7 Провайдеры и ключи,guide,ограничить расходы на api,"лимит трат нейросеть,неожиданный счёт за api,контроль расходов llm",транзакционный,"Собирает конкретные механизмы защиты от неожиданного счёта, включая самый частый его источник — зацикленный агент.",Чек-лист из 7 предохранителей + разбор типовых сценариев перерасхода,"kak-schitat-stoimost-tokenov,agent-zatsiklilsya-chto-delat,rate-limit-i-429-chto-delat,besplatnye-llm-api-2026,multiagentnye-sistemy-obzor",1200,planned
rate-limit-i-429-chto-delat,Ошибка 429 и лимиты запросов: что делать,C7 Провайдеры и ключи,troubleshooting,ошибка 429 api,"rate limit нейросеть,превышен лимит запросов llm,too many requests api",информационный,"Разделяет три разных лимита, которые дают одну и ту же ошибку (запросы в минуту, токены в минуту, дневная квота), — и показывает, как определить, какой сработал.",Таблица типов лимитов с признаками + схема повторных попыток с задержкой,"kak-ne-slit-byudzhet-na-api,oshibka-401-nevernyy-klyuch,gde-vzyat-api-klyuch-k-llm,dostupnost-i-sboi-provayderov-plan-b,besplatnye-llm-api-2026",1000,planned
oshibka-401-nevernyy-klyuch,Ошибка 401 и другие проблемы с ключом,C7 Провайдеры и ключи,troubleshooting,ошибка 401 api ключ,"неверный api ключ,invalid api key,ключ не работает нейросеть",информационный,"Справочник по симптомам подключения: каждая ошибка привязана к одной проверке, включая невидимые пробелы при копировании ключа.",Таблица «код ошибки → причина → проверка» + процедура диагностики за 4 шага,"gde-vzyat-api-klyuch-k-llm,rate-limit-i-429-chto-delat,bezopasnoe-hranenie-api-klyucha,podklyuchit-klyuch-v-persona-poshagovo,openai-sovmestimyy-api-chto-eto",900,planned
bezopasnoe-hranenie-api-klyucha,Где хранить API-ключ и как понять что он утёк,C7 Провайдеры и ключи,guide,где хранить api ключ,"утёк api ключ,защита ключа нейросети,ключ в открытом виде",информационный,"Честно раскрывает собственную практику: ключи участников в Persona хранятся в базе в открытом виде, ключ владельца может лежать в зашифрованном хранилище — и объясняет, что из этого следует для читателя.",Таблица уровней защиты ключа + признаки утечки + процедура отзыва и замены,"parol-i-vault-dlya-zametok,proxyapi-i-aitunnel-dlya-rossii,sekrety-v-env-i-git-hooks,rotatsiya-utekshih-kredov,pochemu-my-proigryvaem-po-nekotorym-punktam",1400,planned
openai-sovmestimyy-api-chto-eto,OpenAI-совместимый API: почему все делают одинаково,C7 Провайдеры и ключи,explainer,openai совместимый api,"совместимость api нейросетей,base url llm,подключить любой провайдер",информационный,"Объясняет, почему совместимый интерфейс стал стандартом, и где совместимость кончается — именно там, где ломаются интеграции.",Таблица «что совместимо и что нет» + пример смены провайдера сменой одного адреса,"kak-perekluchatsya-mezhdu-provayderami,llama-cpp-server-api,openrouter-gayd,anthropic-api-gayd,gde-vzyat-api-klyuch-k-llm",1100,planned
kak-perekluchatsya-mezhdu-provayderami,Как переключаться между провайдерами без переделки всего,C7 Провайдеры и ключи,guide,сменить провайдера llm,"переключение между моделями,несколько api ключей,резервный провайдер нейросети",информационный,"Ставит переключаемость как требование к архитектуре личного ИИ: если смена провайдера — это переделка, вы в зависимости, о которой не договаривались.",Схема слоя абстракции + чек-лист переноса на другого провайдера,"openai-sovmestimyy-api-chto-eto,dostupnost-i-sboi-provayderov-plan-b,openrouter-gayd,podklyuchit-klyuch-v-persona-poshagovo,zachem-local-first-pamyat",1200,planned
kakoy-provayder-dlya-kakoy-zadachi,Какой провайдер под какую задачу: дерево решений,C7 Провайдеры и ключи,comparison,какой провайдер llm выбрать,"что лучше для api нейросети,выбор провайдера llm,сравнение api нейросетей",коммерческий,"Единственная статья кластера, организованная от задачи, а не от провайдера: читатель входит через свой сценарий и выходит с коротким списком.",Дерево решений на 6 сценариев + сводная таблица рекомендаций,"gde-vzyat-api-klyuch-k-llm,besplatnye-llm-api-2026,kak-schitat-stoimost-tokenov,oplata-api-iz-rossii,politiki-provayderov-po-obucheniyu-na-dannyh,kakuyu-model-vybrat",1500,planned
dostupnost-i-sboi-provayderov-plan-b,Провайдер лёг: как ассистент должен это переживать,C7 Провайдеры и ключи,guide,сбой api нейросети,"провайдер недоступен llm,резервная модель при сбое,отказоустойчивость ии ассистента",информационный,"Проектирует деградацию вместо отказа: локальная модель как запасной вариант, который отвечает хуже, но отвечает.",Схема каскада переключений + таблица режимов деградации по типам задач,"kak-perekluchatsya-mezhdu-provayderami,podklyuchaem-ollama-k-persona,rate-limit-i-429-chto-delat,monitoring-i-healthcheck,lokalnaya-model-vs-oblako",1200,planned
limity-konteksta-u-provayderov,Лимиты контекста и вывода у провайдеров,C7 Провайдеры и ключи,explainer,лимит контекста api,"максимальная длина ответа llm,max tokens api,ограничение контекста провайдера",информационный,"Разбирает три разных лимита, которые новички считают одним: окно контекста, максимум входа и максимум выхода — и почему ответ обрывается на середине.",Таблица трёх лимитов с симптомами превышения + расчёт бюджета промпта,"kontekst-modeli-realnyy-vs-zayavlennyy,kak-schitat-stoimost-tokenov,chto-takoe-kontekstnoe-okno,rate-limit-i-429-chto-delat,gde-vzyat-api-klyuch-k-llm",1000,planned
podklyuchit-klyuch-v-persona-poshagovo,Как подключить свою модель в Persona: пошагово,C7 Провайдеры и ключи,guide,подключить свою модель в persona,"persona свой ключ,подключить ollama к persona,настройка llm в persona",транзакционный,"Единственная инструкция, где сразу сказано главное про наш продукт: участник обязан подключить свой ключ или свою Ollama, иначе чат не отвечает вовсе.",Пошаговая инструкция для облачного ключа и для Ollama + разбор экрана ошибки при отсутствии ключа,"gde-vzyat-api-klyuch-k-llm,podklyuchaem-ollama-k-persona,oshibka-401-nevernyy-klyuch,bezopasnoe-hranenie-api-klyucha,kak-nachat-za-5-minut,kak-vybrat-model-pod-pamyat-persona",1300,planned
ii-pomoshchnik-vtoroy-mozg,Второй мозг на ИИ: как перестать терять идеи и контекст,C8 Продуктивность и второй мозг,pillar,второй мозг,"ии для заметок,personal knowledge management,не терять идеи",информационный,"Показывает, что проблема второго мозга не в записи, а в возврате к записанному — и что именно это меняет ИИ.",Схема цикла захват → хранение → возврат + разбор точки отказа классических систем,"pkm-metody-obzor,chek-list-vnedreniya-vtorogo-mozga,poisk-po-svoemu-dnyu-stsenarii,graf-pamyati,zapis-ekrana-ii-pamyat,chto-takoe-lichnyy-ii",2200,existing
golosovoy-dostup-k-pamyati,Голосовой доступ к памяти: hands-free ассистент,C8 Продуктивность и второй мозг,guide,голосовой ии ассистент,"hands-free ai,voice assistant память,голосовой помощник локально",информационный,"Показывает голос как режим доступа к уже накопленной памяти, а не как отдельного ассистента.",Схема конвейера речь → текст → память → речь + требования к задержке,"golosovye-zametki-i-rasshifrovka,chto-takoe-asr-i-tts,chto-takoe-vad,zapis-zvuka-i-zakon,groq-gayd",1500,existing
pkm-metody-obzor,Методы личных знаний: Zettelkasten PARA GTD и что от них осталось,C8 Продуктивность и второй мозг,review,методы управления знаниями,"zettelkasten para gtd,система заметок методика,pkm методы",информационный,"Оценивает классические методы по одному критерию — сколько ручной работы они требуют — и показывает, какие их части ИИ делает ненужными.","Таблица методов с колонкой «что автоматизируется, а что остаётся человеку»","zettelkasten-i-ii,para-metod-i-ii,gtd-i-ii-assistent,ii-pomoshchnik-vtoroy-mozg,chek-list-vnedreniya-vtorogo-mozga",1600,planned
zettelkasten-i-ii,Zettelkasten и ИИ: связи которые не нужно проставлять руками,C8 Продуктивность и второй мозг,explainer,zettelkasten,"метод цеттелькастен,связанные заметки,zettelkasten обсидиан",информационный,"Утверждает спорное: ручная простановка связей была не ценностью метода, а его налогом — и разбирает, что теряется при автоматизации.",Сравнение ручных и автоматических связей на одном наборе заметок + что теряется,"pkm-metody-obzor,graf-pamyati,obsidian-i-lokalnyy-ii,graf-znaniy-vs-vektory,ii-pomoshchnik-vtoroy-mozg",1400,planned
para-metod-i-ii,Метод PARA и ИИ: нужны ли папки когда есть поиск,C8 Продуктивность и второй мозг,explainer,метод para,"para система заметок,организация файлов para,структура папок для заметок",информационный,"Ставит прямой вопрос к методу: если поиск по смыслу работает, папки нужны только для одного — для того, чтобы знать, что можно удалить.","Разбор четырёх категорий PARA + правило «папки для срока жизни, поиск для доступа»","pkm-metody-obzor,semanticheskiy-poisk-vs-klyuchevye-slova,markdown-zametki-kak-format-hraneniya,ii-i-planirovanie-nedeli,ii-pomoshchnik-vtoroy-mozg",1200,planned
gtd-i-ii-assistent,GTD и ИИ-ассистент: где автоматизация помогает а где ломает,C8 Продуктивность и второй мозг,explainer,gtd система,"getting things done,список задач методика,gtd на практике",информационный,"Показывает, что ИИ хорошо закрывает сбор и обзор, но не может закрыть решение — а именно на решении GTD у большинства и разваливается.",Разбор 5 этапов GTD с отметкой автоматизируемости + что остаётся человеку,"pkm-metody-obzor,napominaniya-na-estestvennom-yazyke,ii-i-planirovanie-nedeli,utrenniy-briefing-kak-privychka,itogi-nedeli-avtomaticheski",1300,planned
obsidian-i-lokalnyy-ii,Obsidian и локальный ИИ: как связать заметки с моделью,C8 Продуктивность и второй мозг,guide,obsidian и нейросеть,"obsidian ии плагин,локальная модель в обсидиан,ии для заметок обсидиан",транзакционный,"Единственный русскоязычный гайд, который разбирает связку Obsidian с локальной моделью и честно предупреждает про лицензии популярных ИИ-плагинов.",Пошаговая настройка связки с локальной моделью + таблица плагинов с лицензиями (лицензии помечены как требующие проверки),"persona-vs-obsidian-plugins,markdown-zametki-kak-format-hraneniya,ollama-po-seti-nastroyka,zettelkasten-i-ii,podklyuchaem-ollama-k-persona",1600,planned
notion-vs-lokalnye-zametki,Notion или локальные заметки: что выбрать для второго мозга,C8 Продуктивность и второй мозг,comparison,notion или obsidian,"облачные или локальные заметки,где вести заметки,notion альтернатива",коммерческий,"Разбирает выбор через риск доступности, а не через удобство: облачный сервис может стать недоступен по причинам, не зависящим от вас.",Таблица сравнения по 8 критериям включая доступность и переносимость,"persona-vs-notion-ai,markdown-zametki-kak-format-hraneniya,obsidian-i-lokalnyy-ii,zachem-local-first-pamyat,eksport-i-perenos-pamyati-ii",1400,planned
logseq-i-ii,Logseq и ИИ: аутлайнер против документа,C8 Продуктивность и второй мозг,review,logseq,"logseq обзор,logseq или obsidian,аутлайнер для заметок",коммерческий,"Единственный материал, объясняющий, почему структура аутлайнера удобнее для автоматической обработки, чем свободный документ.",Сравнение форматов хранения + разбор пригодности для машинной обработки,"obsidian-i-lokalnyy-ii,markdown-zametki-kak-format-hraneniya,pkm-metody-obzor,notion-vs-lokalnye-zametki,zettelkasten-i-ii",1100,planned
markdown-zametki-kak-format-hraneniya,Markdown как формат хранения на десятилетия,C8 Продуктивность и второй мозг,explainer,markdown заметки,"почему markdown для заметок,формат заметок надолго,plain text заметки",информационный,"Аргументирует выбор формата через срок жизни, а не удобство: критерий — откроется ли файл через двадцать лет без специальной программы.",Таблица форматов с оценкой долговечности + минимальный набор разметки,"obsidian-i-lokalnyy-ii,notion-vs-lokalnye-zametki,eksport-i-perenos-pamyati-ii,logseq-i-ii,para-metod-i-ii",1000,planned
dnevnik-i-ii-refleksiya,Дневник с ИИ: рефлексия без самообмана,C8 Продуктивность и второй мозг,guide,дневник с нейросетью,"ии для дневника,рефлексия с ии,вести дневник с помощью ии",информационный,"Ставит рамку, которой обычно нет: ассистент задаёт вопросы, а не пишет за вас — иначе дневник теряет единственную свою функцию.",Набор из 8 вопросов для рефлексии + правило разделения ролей,"ii-drug-ili-instrument,lichnyy-ii-i-vygoranie,itogi-nedeli-avtomaticheski,golosovye-zametki-i-rasshifrovka,ii-i-planirovanie-nedeli",1200,planned
utrenniy-briefing-kak-privychka,Утренний брифинг как привычка: что в нём должно быть,C8 Продуктивность и второй мозг,guide,утренний брифинг,"дайджест дня ии,что делать утром продуктивность,сводка дня ассистент",информационный,"Проектирует брифинг от обратного — от того, что вы реально забываете к утру, — и обрезает всё остальное как шум.",Шаблон брифинга из 5 блоков + правило обрезания лишнего,"brifing-i-nl-napominaniya,itogi-nedeli-avtomaticheski,proaktivnyy-agent-probuzhdeniya,ii-i-planirovanie-nedeli,antifomo-pochemu-net-ballov-produktivnosti",1200,planned
napominaniya-na-estestvennom-yazyke,Напоминания человеческим языком: как это должно работать,C8 Продуктивность и второй мозг,guide,напоминание своими словами,"напомнить мне через неделю,умные напоминания,ассистент напоминает",транзакционный,"Показывает, что ценность не в разборе фразы, а в контексте: напоминание, привязанное к делу и его истории, срабатывает, а привязанное ко времени — игнорируется.",Таблица формулировок с результатом + сравнение срабатываемости по типам привязки,"natural-language-cron,brifing-i-nl-napominaniya,gtd-i-ii-assistent,proaktivnyy-agent-probuzhdeniya,ii-i-planirovanie-nedeli",1100,planned
taym-treking-bez-ruchnogo-vvoda,Учёт времени без ручного ввода,C8 Продуктивность и второй мозг,explainer,трекер времени автоматический,"учёт рабочего времени без таймера,автоматический тайм трекинг,куда уходит время",информационный,"Объясняет, почему ручные трекеры бросают на второй неделе, и что автоматический учёт даёт другую по природе картину — менее точную, но правдивую.",Сравнение ручного и автоматического учёта на одной неделе + разбор погрешности,"otchet-po-rabote-iz-taymlayna,antifomo-pochemu-net-ballov-produktivnosti,zapis-ekrana-ii-pamyat,fokus-i-tihie-chasy,itogi-nedeli-avtomaticheski",1300,planned
otchet-po-rabote-iz-taymlayna,Отчёт о работе из реальной истории а не по памяти,C8 Продуктивность и второй мозг,guide,отчёт о проделанной работе,"как составить отчёт за неделю,отчёт для заказчика,что я делал за месяц",транзакционный,"Решает конкретную болезненную задачу — восстановить, что делалось месяц назад, — и показывает, что без автоматической истории это восстановление всегда приукрашено.",Шаблон отчёта + процедура восстановления периода из истории,"taym-treking-bez-ruchnogo-vvoda,kak-vspomnit-chto-delal-v-ponedelnik,poisk-po-svoemu-dnyu-stsenarii,personalnyy-ii-dlya-frilansera,itogi-nedeli-avtomaticheski",1200,planned
poisk-po-svoemu-dnyu-stsenarii,Поиск по своему дню: двадцать вопросов которые стоит уметь задать,C8 Продуктивность и второй мозг,guide,поиск по истории экрана,"найти что я смотрел вчера,поиск по своим действиям,история активности поиск",информационный,"Каталог формулировок: показывает, что ценность памяти раскрывается только когда знаешь, какие вопросы вообще можно задать.","Список 20 вопросов с разбором, какой механизм поиска отвечает на каждый","kak-vspomnit-chto-delal-v-ponedelnik,semanticheskiy-poisk-vs-klyuchevye-slova,poisk-po-ocr-tekstu-osobennosti,zapis-ekrana-ii-pamyat,otchet-po-rabote-iz-taymlayna",1300,planned
kak-vspomnit-chto-delal-v-ponedelnik,Как вспомнить чем вы занимались в конкретный день,C8 Продуктивность и второй мозг,guide,как вспомнить что делал,"восстановить события дня,забыл что делал вчера,история активности на компьютере",информационный,"Разбирает восстановление дня как расследование по уликам и честно говорит, что после срабатывания политики хранения детали не восстановить — останется только краткая пометка.","Порядок восстановления дня из 5 источников + разбор того, что теряется со временем","poisk-po-svoemu-dnyu-stsenarii,ierarhicheskaya-pamyat-urovni,otchet-po-rabote-iz-taymlayna,skolko-mesta-zanimaet-god-zapisi,zapis-ekrana-ii-pamyat",1200,planned
